end_code,country_code,domaincat_desc,statisticcat_desc,location_desc,zip_5,source_desc,state_ansi,week_ending,prodn_practice_desc,county_code,congr_district_code,CV (%),year,Value,group_desc,country_name,class_desc,domain_desc,util_practice_desc,asd_desc,watershed_desc,agg_level_desc,county_name,county_ansi,state_alpha,state_name,load_time,commodity_desc,region_desc,freq_desc,unit_desc,state_fips_code,watershed_code,short_desc,begin_code,sector_desc,asd_code,reference_period_desc
"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,998,,UNITED STATES,ALL CLASSES,2011,128.3,FIELD CROPS,GRAIN,TOTAL,,SACRAMENTO VALLEY,OTHER (COMBINED) COUNTIES,CA,,COUNTY,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,50,CROPS,YEAR,ANNUAL
YIELD,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,998,,UNITED STATES,ALL CLASSES,2010,196,FIELD CROPS,GRAIN,TOTAL,,SACRAMENTO VALLEY,OTHER (COMBINED) COUNTIES,CA,,COUNTY,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,CROPS,YEAR,00,ANNUAL
CALIFORNIA,2015-06-03 15:08:31.000,CORN,,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,CROPS,50,YEAR,ANNUAL,,SACRAMENTO VALLEY,BUTTE,CA,007,COUNTY,UNITED STATES,ALL CLASSES,2012,200,FIELD CROPS,GRAIN,TOTAL,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, BUTTE",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,007,
COLUSA,CA,011,COUNTY,,SACRAMENTO VALLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,YEAR,50,00,06,BU / ACRE,00000000,ANNUAL,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,08.40,011,,ALL PRODUCTION PRACTICES,SURVEY,06,,"CALIFORNIA, SACRAMENTO VALLEY, COLUSA",YIELD,,NOT SPECIFIED,00,9000,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2021,195.1
UNITED STATES,ALL CLASSES,2013,197.5,FIELD CROPS,GRAIN,TOTAL,"CALIFORNIA, SACRAMENTO VALLEY, COLUSA",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,011,,2015-02-19 15:38:52.000,CALIFORNIA,CORN,,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,CROPS,YEAR,50,ANNUAL,,SACRAMENTO VALLEY,COLUSA,011,CA,COUNTY
011,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,,06,"CALIFORNIA, SACRAMENTO VALLEY, COLUSA",YIELD,,TOTAL,GRAIN,FIELD CROPS,2012,214.3,ALL CLASSES,UNITED STATES,COUNTY,COLUSA,CA,011,SACRAMENTO VALLEY,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,50,CROPS,00,BU / ACRE,06,00000000,CORN,,CALIFORNIA,2015-06-03 15:08:31.000
TOTAL,GRAIN,2011,166.3,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,011,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, COLUSA",,SURVEY,06,,ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,CROPS,00,50,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,COUNTY,COLUSA,CA,011,SACRAMENTO VALLEY,
9000,00,NOT SPECIFIED,,"CALIFORNIA, SACRAMENTO VALLEY, COLUSA",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,011,,221.4,2010,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,SACRAMENTO VALLEY,,COUNTY,CA,011,COLUSA,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,ANNUAL,00000000,BU / ACRE,06,CROPS,00,50,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
00,9000,NOT SPECIFIED,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,,SURVEY,06,,ALL PRODUCTION PRACTICES,021,,,2019,153.1,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,SACRAMENTO VALLEY,,COUNTY,GLENN,021,CA,2021-02-25 15:10:17.000,CALIFORNIA,CORN,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,CROPS,YEAR,00
SACRAMENTO VALLEY,,COUNTY,021,CA,GLENN,,CORN,2019-03-21 15:00:18.000,CALIFORNIA,ANNUAL,CROPS,50,YEAR,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,,021,ALL PRODUCTION PRACTICES,,FIELD CROPS,162,2018,ALL CLASSES,UNITED STATES,TOTAL,GRAIN
ALL PRODUCTION PRACTICES,021,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,,SURVEY,,06,TOTAL,GRAIN,2016,255.4,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,GLENN,021,CA,SACRAMENTO VALLEY,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,00,50,YEAR,CALIFORNIA,2017-02-23 15:00:08.000,CORN,
,SACRAMENTO VALLEY,CA,021,GLENN,COUNTY,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,CROPS,00,YEAR,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,06,SURVEY,,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,NOT SPECIFIED,9000,00,,,021,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,193.2,2015,GRAIN,TOTAL
UNITED STATES,ALL CLASSES,2014,196.7,FIELD CROPS,GRAIN,TOTAL,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,021,,2015-02-19 15:38:52.000,CALIFORNIA,CORN,,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,00,50,YEAR,ANNUAL,,SACRAMENTO VALLEY,GLENN,021,CA,COUNTY
GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2012,208.2,FIELD CROPS,,ALL PRODUCTION PRACTICES,021,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",,SURVEY,06,,00,9000,NOT SPECIFIED,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,CROPS,50,00,ANNUAL,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,GLENN,021,CA,COUNTY,,SACRAMENTO VALLEY
GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2011,232,,021,,ALL PRODUCTION PRACTICES,SURVEY,,06,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",YIELD,,NOT SPECIFIED,00,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,50,CROPS,YEAR,BU / ACRE,06,00000000,ANNUAL,CORN,,2015-06-03 15:08:31.000,CALIFORNIA,GLENN,021,CA,COUNTY,,SACRAMENTO VALLEY
COUNTY,021,CA,GLENN,SACRAMENTO VALLEY,,ANNUAL,50,00,CROPS,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,,021,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",TOTAL,GRAIN,FIELD CROPS,238.8,2010,ALL CLASSES,UNITED STATES
,CORN,2023-02-24 15:00:00.000,CALIFORNIA,ANNUAL,CROPS,00,YEAR,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,SACRAMENTO VALLEY,,COUNTY,067,CA,SACRAMENTO,FIELD CROPS,185.6,2022,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,06,,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",,067,ALL PRODUCTION PRACTICES,04.90
,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,SACRAMENTO VALLEY,,COUNTY,067,CA,SACRAMENTO,FIELD CROPS,277.1,2021,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,06,,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",,067,ALL PRODUCTION PRACTICES,03.50
ALL CLASSES,UNITED STATES,FIELD CROPS,150,2019,GRAIN,TOTAL,06,,SURVEY,,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",YIELD,NOT SPECIFIED,9000,00,,,067,ALL PRODUCTION PRACTICES,,CORN,CALIFORNIA,2021-02-25 15:10:17.000,CROPS,50,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL,,SACRAMENTO VALLEY,CA,067,SACRAMENTO,COUNTY
ANNUAL,00000000,06,BU / ACRE,CROPS,50,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019-03-21 15:00:18.000,CALIFORNIA,,CORN,COUNTY,067,CA,SACRAMENTO,SACRAMENTO VALLEY,,TOTAL,GRAIN,172.9,2018,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,067,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",YIELD,,06,SURVEY
,CORN,CALIFORNIA,2017-02-23 15:00:08.000,ANNUAL,CROPS,00,50,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,SACRAMENTO VALLEY,,COUNTY,067,CA,SACRAMENTO,FIELD CROPS,213.5,2016,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",,067,ALL PRODUCTION PRACTICES,
,ALL PRODUCTION PRACTICES,,067,,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,157.4,2015,FIELD CROPS,067,CA,SACRAMENTO,COUNTY,,SACRAMENTO VALLEY,00000000,BU / ACRE,06,YEAR,CROPS,50,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2017-02-23 15:00:08.000,CALIFORNIA,,CORN
,067,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",TOTAL,GRAIN,FIELD CROPS,173,2014,ALL CLASSES,UNITED STATES,COUNTY,CA,067,SACRAMENTO,SACRAMENTO VALLEY,,ANNUAL,CROPS,50,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,,CORN,CALIFORNIA,2015-02-19 15:38:52.000
GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2013,173.9,,067,,ALL PRODUCTION PRACTICES,SURVEY,,06,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",,NOT SPECIFIED,00,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,00,YEAR,50,BU / ACRE,06,00000000,ANNUAL,CORN,,CALIFORNIA,2015-02-19 15:38:52.000,SACRAMENTO,CA,067,COUNTY,,SACRAMENTO VALLEY
TOTAL,GRAIN,FIELD CROPS,165.9,2012,ALL CLASSES,UNITED STATES,,067,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,06,,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",ANNUAL,YEAR,50,CROPS,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,,CORN,2015-06-03 15:08:31.000,CALIFORNIA,COUNTY,CA,067,SACRAMENTO,SACRAMENTO VALLEY,
UNITED STATES,ALL CLASSES,2011,167.9,FIELD CROPS,GRAIN,TOTAL,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,067,,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,00,50,YEAR,ANNUAL,,SACRAMENTO VALLEY,SACRAMENTO,CA,067,COUNTY
00000000,BU / ACRE,06,CROPS,00,50,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,067,CA,SACRAMENTO,COUNTY,,SACRAMENTO VALLEY,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,164.1,2010,FIELD CROPS,,ALL PRODUCTION PRACTICES,,067,,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED
GRAIN,TOTAL,UNITED STATES,ALL CLASSES,164.7,2018,FIELD CROPS,,ALL PRODUCTION PRACTICES,,095,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",06,,SURVEY,9000,00,NOT SPECIFIED,00000000,BU / ACRE,06,50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,CALIFORNIA,2019-03-21 15:00:18.000,,CORN,CA,095,SOLANO,COUNTY,,SACRAMENTO VALLEY
COUNTY,SOLANO,095,CA,SACRAMENTO VALLEY,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,00,YEAR,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,ALL PRODUCTION PRACTICES,095,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",,SURVEY,,06,TOTAL,GRAIN,2016,193.9,FIELD CROPS,UNITED STATES,ALL CLASSES
GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,155.6,2015,,,095,ALL PRODUCTION PRACTICES,06,,SURVEY,,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",YIELD,NOT SPECIFIED,9000,00,YEAR,CROPS,00,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,CA,095,SOLANO,COUNTY,,SACRAMENTO VALLEY
CORN,,CALIFORNIA,2015-02-19 15:38:52.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,CROPS,00,50,06,BU / ACRE,00000000,ANNUAL,,SACRAMENTO VALLEY,SOLANO,095,CA,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,2014,170,GRAIN,TOTAL,SURVEY,,06,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",YIELD,,NOT SPECIFIED,00,9000,,095,,ALL PRODUCTION PRACTICES
,ALL PRODUCTION PRACTICES,,095,,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,201.8,2013,FIELD CROPS,CA,095,SOLANO,COUNTY,,SACRAMENTO VALLEY,00000000,06,BU / ACRE,00,50,YEAR,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,CALIFORNIA,2015-02-19 15:38:52.000,,CORN
SACRAMENTO VALLEY,,COUNTY,095,CA,SOLANO,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,ANNUAL,00000000,BU / ACRE,06,00,CROPS,50,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,00,NOT SPECIFIED,,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,095,,201.9,2012,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN
50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,BU / ACRE,06,ANNUAL,,CORN,2015-06-03 15:08:31.000,CALIFORNIA,CA,095,SOLANO,COUNTY,,SACRAMENTO VALLEY,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,192.2,2011,,,095,ALL PRODUCTION PRACTICES,06,,SURVEY,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",NOT SPECIFIED,9000,00
ANNUAL,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,CROPS,00,YEAR,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,COUNTY,SOLANO,CA,095,SACRAMENTO VALLEY,,TOTAL,GRAIN,2010,200,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,095,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",,SURVEY,06,
CORN,,2023-02-24 15:00:00.000,CALIFORNIA,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,50,YEAR,CROPS,BU / ACRE,06,00000000,SACRAMENTO VALLEY,,COUNTY,SUTTER,101,CA,FIELD CROPS,2022,133.8,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",YIELD,,101,,ALL PRODUCTION PRACTICES,17.40
FIELD CROPS,2021,177.7,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",,101,,ALL PRODUCTION PRACTICES,32.10,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00,CROPS,YEAR,06,BU / ACRE,00000000,SACRAMENTO VALLEY,,COUNTY,SUTTER,101,CA
ANNUAL,00000000,06,BU / ACRE,50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2021-02-25 15:10:17.000,CALIFORNIA,,CORN,COUNTY,101,CA,SUTTER,SACRAMENTO VALLEY,,TOTAL,GRAIN,147.1,2019,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,101,,9000,00,NOT SPECIFIED,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",,06,SURVEY
COUNTY,SUTTER,CA,101,SACRAMENTO VALLEY,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,50,00,CROPS,06,BU / ACRE,00000000,CORN,,2019-03-21 15:00:18.000,CALIFORNIA,101,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",YIELD,,TOTAL,GRAIN,FIELD CROPS,2018,210,ALL CLASSES,UNITED STATES
ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,YEAR,00,06,BU / ACRE,00000000,CORN,,2017-02-23 15:00:08.000,CALIFORNIA,COUNTY,SUTTER,CA,101,SACRAMENTO VALLEY,,TOTAL,GRAIN,FIELD CROPS,2016,264.1,ALL CLASSES,UNITED STATES,101,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,,06,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",YIELD,
06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,YEAR,CROPS,00,ANNUAL,CALIFORNIA,2015-02-19 15:38:52.000,CORN,,SUTTER,101,CA,COUNTY,,SACRAMENTO VALLEY,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2014,225,FIELD CROPS,,ALL PRODUCTION PRACTICES,101,,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED
SUTTER,CA,101,COUNTY,,SACRAMENTO VALLEY,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,CROPS,50,YEAR,ANNUAL,CALIFORNIA,2015-02-19 15:38:52.000,CORN,,,ALL PRODUCTION PRACTICES,101,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",,SURVEY,06,,00,9000,NOT SPECIFIED,GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2013,172.6,FIELD CROPS
